Date,Country,Cumulative number of case(s),Number of deaths,Number recovered
4/24/03,Thailand,8,2,5
4/24/03,United Kingdom,6,0,6
4/24/03,United States,37,0,0
4/24/03,Viet Nam,63,5,49
4/25/03,Brazil,2,0,2
4/25/03,Bulgaria,1,0,0
4/25/03,Canada,140,15,74
4/25/03,China,2601,115,1277
4/25/03,"Hong Kong SAR, China",1510,115,614
4/25/03,"Taiwan, China",41,0,21
4/25/03,France,5,0,1
4/25/03,Germany,7,0,6
4/25/03,India,1,0,1
4/25/03,Indonesia,1,0,1
4/25/03,Italy,4,0,3
4/25/03,Japan,2,0,0
4/25/03,Kuwait,1,0,1
4/25/03,Malaysia,5,2,2
4/25/03,Mongolia,3,0,3
4/25/03,Philippines,2,1,1
4/25/03,Republic of Ireland,1,0,1
4/25/03,Romania,1,0,1
4/25/03,Singapore,195,19,126
4/25/03,South Africa,1,0,0
4/25/03,Spain,1,0,1
4/25/03,Sweden,3,0,2
4/25/03,Switzerland,1,0,1
4/25/03,Thailand,8,2,5
4/25/03,United Kingdom,6,0,6
4/25/03,United States,39,0,0
4/25/03,Viet Nam,63,5,53
4/26/03,Brazil,2,0,2
4/26/03,Bulgaria,1,0,0
4/26/03,Canada,142,18,77
4/26/03,China,2753,122,1285
4/26/03,"Hong Kong SAR, China",1527,121,632
4/26/03,"Taiwan, China",49,0,25
4/26/03,France,5,0,1
4/26/03,Germany,7,0,6
4/26/03,India,1,0,1
4/26/03,Indonesia,1,0,1
4/26/03,Italy,4,0,3
4/26/03,Japan,2,0,0
4/26/03,Kuwait,1,0,1
4/26/03,Malaysia,5,2,2
4/26/03,Mongolia,5,0,3
4/26/03,Philippines,4,2,1
4/26/03,Republic of Ireland,1,0,1
4/26/03,Romania,1,0,1
4/26/03,Singapore,198,21,126
4/26/03,South Africa,1,0,0
4/26/03,Spain,1,0,1
4/26/03,Sweden,3,0,2
4/26/03,Switzerland,1,0,1
4/26/03,Thailand,7,2,5
4/26/03,United Kingdom,6,0,6
4/26/03,United States,41,0,0
4/26/03,Viet Nam,63,5,53
4/28/03,Brazil,2,0,2
4/28/03,Bulgaria,1,0,0
4/28/03,Canada,142,18,77
4/28/03,China,2914,131,1299
4/28/03,"Hong Kong SAR, China",1557,138,710
4/28/03,"Taiwan, China",66,0,25
4/28/03,France,5,0,1
4/28/03,Germany,7,0,6
4/28/03,India,1,0,1
4/28/03,Indonesia,1,0,1
4/28/03,Italy,8,0,3
4/28/03,Japan,2,0,0
4/28/03,Kuwait,1,0,1
4/28/03,Malaysia,6,2,2
4/28/03,Mongolia,5,0,3
4/28/03,Philippines,4,2,1
4/28/03,Republic of Ireland,1,0,1
4/28/03,Romania,1,0,1
4/28/03,Singapore,199,23,137
4/28/03,South Africa,1,0,0
4/28/03,Spain,1,0,1
4/28/03,Sweden,3,0,2
4/28/03,Switzerland,1,0,1
4/28/03,Thailand,7,2,5
4/28/03,United Kingdom,6,0,6
4/28/03,United States,41,0,0
4/28/03,Viet Nam,63,5,53
4/29/03,Brazil,2,0,2
4/29/03,Bulgaria,1,0,0
4/29/03,Canada,146,20,86
4/29/03,China,3303,148,1322
4/29/03,"Hong Kong SAR, China",1572,150,759
4/29/03,"Taiwan, China",66,0,25
4/29/03,France,5,0,1
4/29/03,Germany,7,0,6
4/29/03,India,1,0,1
4/29/03,Indonesia,1,0,1
4/29/03,Italy,9,0,4
4/29/03,Japan,2,0,0
4/29/03,Kuwait,1,0,1
4/29/03,Malaysia,6,2,3
4/29/03,Mongolia,5,0,3
4/29/03,Philippines,4,2,1
4/29/03,Republic of Ireland,1,0,1
4/29/03,Republic of Korea,1,0,0
4/29/03,Romania,1,0,1
4/29/03,Singapore,201,24,139
4/29/03,South Africa,1,0,0
4/29/03,Spain,1,0,1
4/29/03,Sweden,3,0,2
4/29/03,Switzerland,1,0,1
4/29/03,Thailand,7,2,5
4/29/03,United Kingdom,6,0,6
4/29/03,United States,41,0,0
4/29/03,Viet Nam,63,5,53
4/30/03,Brazil,2,0,2
4/30/03,Bulgaria,1,0,0
4/30/03,Canada,148,20,87
4/30/03,China,3460,159,1332
4/30/03,"Hong Kong SAR, China",1589,157,791
4/30/03,"Macao SAR, China",1,0,0
4/30/03,"Taiwan, China",78,1,25
4/30/03,France,5,0,1
4/30/03,Germany,7,0,7
4/30/03,Indonesia,2,0,1
4/30/03,Italy,9,0,4
4/30/03,Japan,2,0,0
4/30/03,Kuwait,1,0,1
4/30/03,Malaysia,6,2,3
4/30/03,Mongolia,6,0,3
4/30/03,Philippines,4,2,1
4/30/03,Republic of Ireland,1,0,1
4/30/03,Republic of Korea,1,0,0
4/30/03,Romania,1,0,1
4/30/03,Singapore,201,24,139
4/30/03,South Africa,1,0,0
4/30/03,Spain,1,0,1
4/30/03,Sweden,3,0,2
4/30/03,Switzerland,1,0,1
4/30/03,Thailand,7,2,5
4/30/03,United Kingdom,6,0,6
4/30/03,United States,52,0,0
4/30/03,Viet Nam,63,5,53
5/1/03,Brazil,2,0,2
5/1/03,Bulgaria,1,0,0
5/1/03,Canada,147,20,87
5/1/03,China,3638,170,1351
5/1/03,"Hong Kong SAR, China",1600,162,834
5/1/03,"Macao SAR, China",1,0,0
5/1/03,"Taiwan, China",89,3,25
5/1/03,France,5,0,1
5/1/03,Germany,7,0,7
5/1/03,Indonesia,2,0,1
5/1/03,Italy,9,0,4
5/1/03,Japan,2,0,0
5/1/03,Kuwait,1,0,1
5/1/03,Malaysia,6,2,3
5/1/03,Mongolia,6,0,3
5/1/03,Philippines,4,2,1
5/1/03,Poland,1,0,0
5/1/03,Republic of Ireland,1,0,1
5/1/03,Republic of Korea,1,0,0
5/1/03,Romania,1,0,1
5/1/03,Singapore,201,25,143
5/1/03,South Africa,1,0,0
5/1/03,Spain,1,0,1
5/1/03,Sweden,3,0,2
5/1/03,Switzerland,1,0,1
5/1/03,Thailand,7,2,5
5/1/03,United Kingdom,6,0,6
5/1/03,United States,54,0,23
5/1/03,Viet Nam,63,5,56
5/2/03,Brazil,2,0,2
5/2/03,Bulgaria,1,0,0
5/2/03,Canada,149,22,93
5/2/03,China,3799,181,1372
5/2/03,"Hong Kong SAR, China",1611,170,878
5/2/03,"Macao SAR, China",1,0,0
5/2/03,"Taiwan, China",100,8,25
5/2/03,France,5,0,4
5/2/03,Germany,7,0,7
5/2/03,Indonesia,2,0,1
5/2/03,Italy,9,0,4
5/2/03,Kuwait,1,0,1
5/2/03,Malaysia,6,2,3
5/2/03,Mongolia,8,0,4
5/2/03,New Zealand,1,0,1
5/2/03,Philippines,3,2,1
5/2/03,Poland,1,0,0
5/2/03,Republic of Ireland,1,0,1
5/2/03,Republic of Korea,1,0,0
5/2/03,Romania,1,0,1
5/2/03,Singapore,203,25,146
5/2/03,South Africa,1,0,0
5/2/03,Spain,1,0,1
5/2/03,Sweden,3,0,2
5/2/03,Switzerland,1,0,1
5/2/03,Thailand,7,2,5
5/2/03,United Kingdom,6,0,6
5/2/03,United States,56,0,24
5/2/03,Viet Nam,63,5,56
5/3/03,Brazil,2,0,2
5/3/03,Bulgaria,1,0,0
5/3/03,Canada,149,22,94
5/3/03,China,3971,190,1406
5/3/03,"Hong Kong SAR, China",1621,179,898
5/3/03,"Macao SAR, China",1,0,0
5/3/03,"Taiwan, China",100,8,25
5/3/03,France,5,0,4
5/3/03,Germany,7,0,7
5/3/03,Indonesia,2,0,1
5/3/03,Italy,9,0,4
5/3/03,Kuwait,1,0,1
5/3/03,Malaysia,6,2,3
5/3/03,Mongolia,8,0,4
5/3/03,New Zealand,1,0,1
5/3/03,Philippines,3,2,1
5/3/03,Poland,1,0,0
5/3/03,Republic of Ireland,1,0,1
5/3/03,Republic of Korea,1,0,0
5/3/03,Romania,1,0,1
5/3/03,Singapore,203,25,147
5/3/03,South Africa,1,0,1
5/3/03,Spain,1,0,1
5/3/03,Sweden,3,0,2
5/3/03,Switzerland,1,0,1
5/3/03,Thailand,7,2,5
5/3/03,United Kingdom,6,0,6
5/3/03,United States,54,0,24
5/3/03,Viet Nam,63,5,58
5/5/03,Brazil,2,0,2
5/5/03,Bulgaria,1,0,0
5/5/03,Canada,148,22,93
5/5/03,China,4280,206,1433
5/5/03,"Hong Kong SAR, China",1637,187,930
5/5/03,"Macao SAR, China",1,0,0
5/5/03,"Taiwan, China",116,8,25
5/5/03,France,5,0,4
5/5/03,Germany,7,0,7
5/5/03,Indonesia,2,0,1
5/5/03,Italy,9,0,4
5/5/03,Kuwait,1,0,1
5/5/03,Malaysia,7,2,4
5/5/03,Mongolia,8,0,4
5/5/03,New Zealand,1,0,1
5/5/03,Philippines,3,2,1
5/5/03,Poland,1,0,0
5/5/03,Republic of Ireland,1,0,1
5/5/03,Republic of Korea,1,0,0
5/5/03,Romania,1,0,1
5/5/03,Singapore,204,26,149
5/5/03,South Africa,1,1,0
5/5/03,Spain,1,0,1
5/5/03,Sweden,3,0,2
5/5/03,Switzerland,1,0,1
5/5/03,Thailand,7,2,5
5/5/03,United Kingdom,6,0,6
5/5/03,United States,61,0,26
5/5/03,Viet Nam,63,5,58
5/6/03,Brazil,2,0,2
5/6/03,Bulgaria,1,0,0
5/6/03,Canada,148,22,93
5/6/03,China,4409,214,1460
5/6/03,"Hong Kong SAR, China",1646,193,958
5/6/03,"Macao SAR, China",1,0,0
5/6/03,"Taiwan, China",116,10,25
5/6/03,Colombia,1,0,1
5/6/03,France,5,0,4
5/6/03,Germany,7,0,7
5/6/03,India,1,0,0
5/6/03,Indonesia,2,0,1
5/6/03,Italy,9,0,4
5/6/03,Kuwait,1,0,1
5/6/03,Malaysia,7,2,4
5/6/03,Mongolia,8,0,4
5/6/03,New Zealand,1,0,1
5/6/03,Philippines,3,2,1
5/6/03,Poland,1,0,0
5/6/03,Republic of Ireland,1,0,1
5/6/03,Republic of Korea,1,0,0
5/6/03,Romania,1,0,1
5/6/03,Singapore,204,27,149
5/6/03,South Africa,1,1,0
5/6/03,Spain,1,0,1
5/6/03,Sweden,3,0,2
5/6/03,Switzerland,1,0,1
5/6/03,Thailand,7,2,5
5/6/03,United Kingdom,6,0,6
5/6/03,United States,65,0,32
5/6/03,Viet Nam,63,5,58
5/7/03,Brazil,2,0,2
5/7/03,Bulgaria,1,0,0
5/7/03,Canada,146,22,93
5/7/03,China,4560,219,1487
5/7/03,"Hong Kong SAR, China",1654,204,984
5/7/03,"Macao SAR, China",1,0,0
5/7/03,"Taiwan, China",125,11,26
5/7/03,Colombia,1,0,1
5/7/03,France,6,0,4
5/7/03,Germany,8,0,7
5/7/03,India,1,0,0
5/7/03,Indonesia,2,0,1
5/7/03,Italy,9,0,5
5/7/03,Kuwait,1,0,1
5/7/03,Malaysia,7,2,4
5/7/03,Mongolia,9,0,6
5/7/03,New Zealand,1,0,1
5/7/03,Philippines,10,2,2
5/7/03,Poland,1,0,0
5/7/03,Republic of Ireland,1,0,1
5/7/03,Republic of Korea,1,0,0
5/7/03,Romania,1,0,1
5/7/03,Singapore,204,27,150
5/7/03,South Africa,1,1,0
5/7/03,Spain,1,0,1
5/7/03,Sweden,3,0,2
5/7/03,Switzerland,1,0,1
5/7/03,Thailand,7,2,5
5/7/03,United Kingdom,6,0,6
5/7/03,United States,65,0,32
5/7/03,Viet Nam,63,5,58
5/8/03,Brazil,2,0,2
5/8/03,Bulgaria,1,0,0
5/8/03,Canada,146,22,95
5/8/03,China,4698,224,1529
5/8/03,"Hong Kong SAR, China",1661,208,1008
5/8/03,"Macao SAR, China",1,0,0
5/8/03,"Taiwan, China",131,13,26
5/8/03,Colombia,1,0,1
5/8/03,Finland,1,0,0
5/8/03,France,6,0,4
5/8/03,Germany,8,0,7
5/8/03,India,1,0,0
5/8/03,Indonesia,2,0,1
5/8/03,Italy,9,0,6
5/8/03,Kuwait,1,0,1
5/8/03,Malaysia,7,2,4
5/8/03,Mongolia,9,0,6
5/8/03,New Zealand,1,0,1
5/8/03,Philippines,10,2,2
5/8/03,Poland,1,0,0
5/8/03,Republic of Ireland,1,0,1
5/8/03,Republic of Korea,1,0,1
5/8/03,Romania,1,0,1
5/8/03,Singapore,204,27,153
5/8/03,South Africa,1,1,0
5/8/03,Spain,1,0,1
5/8/03,Sweden,3,0,2
5/8/03,Switzerland,1,0,1
5/8/03,Thailand,7,2,5
5/8/03,United Kingdom,6,0,6
5/8/03,United States,63,0,33
5/8/03,Viet Nam,63,5,58
5/9/03,Brazil,2,0,2
5/9/03,Bulgaria,1,0,0
5/9/03,Canada,145,22,94
5/9/03,China,4805,230,1582
5/9/03,"Hong Kong SAR, China",1667,210,1015
5/9/03,"Macao SAR, China",1,0,0
5/9/03,"Taiwan, China",149,13,26
5/9/03,Colombia,1,0,1
5/9/03,Finland,1,0,0
5/9/03,France,6,0,4
5/9/03,Germany,9,0,9
5/9/03,India,1,0,0
5/9/03,Indonesia,2,0,1
5/9/03,Italy,9,0,9
5/9/03,Kuwait,1,0,1
5/9/03,Malaysia,6,2,4
5/9/03,Mongolia,9,0,6
5/9/03,New Zealand,1,0,1
5/9/03,Philippines,10,2,2
5/9/03,Poland,1,0,0
5/9/03,Republic of Ireland,1,0,1
5/9/03,Republic of Korea,1,0,1
5/9/03,Romania,1,0,1
5/9/03,Singapore,204,27,153
5/9/03,South Africa,1,1,0
5/9/03,Spain,1,0,1
5/9/03,Sweden,3,0,2
5/9/03,Switzerland,1,0,1
5/9/03,Thailand,7,2,5
5/9/03,United Kingdom,6,0,6
5/9/03,United States,63,0,33
5/9/03,Viet Nam,63,5,58
5/10/03,Brazil,2,0,2
5/10/03,Bulgaria,1,0,0
5/10/03,Canada,145,22,97
5/10/03,China,4884,235,1620
5/10/03,"Hong Kong SAR, China",1674,212,1035
5/10/03,"Macao SAR, China",1,0,0
5/10/03,"Taiwan, China",172,18,26
5/10/03,Colombia,1,0,1
5/10/03,Finland,1,0,0
5/10/03,France,7,0,4
5/10/03,Germany,9,0,9
5/10/03,India,1,0,0
5/10/03,Indonesia,2,0,1
5/10/03,Italy,9,0,9
5/10/03,Kuwait,1,0,1
5/10/03,Malaysia,7,2,4
5/10/03,Mongolia,9,0,6
5/10/03,New Zealand,1,0,1
5/10/03,Philippines,10,2,2
5/10/03,Poland,1,0,0
5/10/03,Republic of Ireland,1,0,1
5/10/03,Republic of Korea,1,0,1
5/10/03,Romania,1,0,1
5/10/03,Singapore,205,27,155
5/10/03,South Africa,1,1,0
5/10/03,Spain,1,0,1
5/10/03,Sweden,3,0,2
5/10/03,Switzerland,1,0,1
5/10/03,Thailand,7,2,5
5/10/03,United Kingdom,6,0,6
5/10/03,United States,64,0,34
5/10/03,Viet Nam,63,5,58
5/12/03,Brazil,2,0,2
5/12/03,Bulgaria,1,0,0
5/12/03,Canada,143,22,98
5/12/03,China,5013,252,1693
5/12/03,"Hong Kong SAR, China",1683,218,1066
5/12/03,"Macao SAR, China",1,0,0
5/12/03,"Taiwan, China",184,20,26
5/12/03,Colombia,1,0,1
5/12/03,Finland,1,0,0
5/12/03,France,7,0,4
5/12/03,Germany,9,0,9
5/12/03,India,1,0,0
5/12/03,Indonesia,2,0,1
5/12/03,Italy,9,0,8
5/12/03,Kuwait,1,0,1
5/12/03,Malaysia,7,2,4
5/12/03,Mongolia,9,0,6
5/12/03,New Zealand,1,0,1
5/12/03,Philippines,10,2,3
5/12/03,Poland,1,0,0
5/12/03,Republic of Ireland,1,0,1
5/12/03,Republic of Korea,2,0,1
5/12/03,Romania,1,0,1
5/12/03,Singapore,205,28,156
5/12/03,South Africa,1,1,0
5/12/03,Spain,1,0,1
5/12/03,Sweden,3,0,2
5/12/03,Switzerland,1,0,1
5/12/03,Thailand,7,2,5
5/12/03,United Kingdom,6,0,6
5/12/03,United States,64,0,34
5/12/03,Viet Nam,63,5,58
5/13/03,Brazil,2,0,2
5/13/03,Bulgaria,1,0,0
5/13/03,Canada,143,22,99
5/13/03,China,5086,262,1765
5/13/03,"Hong Kong SAR, China",1689,225,1090
5/13/03,"Macao SAR, China",1,0,0
5/13/03,"Taiwan, China",207,24,30
5/13/03,Colombia,1,0,1
5/13/03,Finland,1,0,0
5/13/03,France,7,0,4
5/13/03,Germany,9,0,9
5/13/03,India,3,0,0
5/13/03,Indonesia,2,0,1
5/13/03,Italy,9,0,9
5/13/03,Kuwait,1,0,1
5/13/03,Malaysia,7,2,4
5/13/03,Mongolia,9,0,6
5/13/03,New Zealand,1,0,1
5/13/03,Philippines,10,2,3
5/13/03,Republic of Ireland,1,0,1
5/13/03,Republic of Korea,2,0,1
5/13/03,Romania,1,0,1
5/13/03,Singapore,205,28,157
5/13/03,South Africa,1,1,0
5/13/03,Spain,1,0,1
5/13/03,Sweden,3,0,3
5/13/03,Switzerland,1,0,1
5/13/03,Thailand,7,2,5
5/13/03,United Kingdom,4,0,4
5/13/03,United States,64,0,35
5/13/03,Viet Nam,63,5,58
5/14/03,Brazil,2,0,2
5/14/03,Bulgaria,1,0,0
5/14/03,Canada,143,23,104
5/14/03,China,5124,267,1811
5/14/03,"Hong Kong SAR, China",1698,227,1128
5/14/03,"Macao SAR, China",1,0,0
5/14/03,"Taiwan, China",238,30,38
5/14/03,Colombia,1,0,1
5/14/03,Finland,1,0,0
5/14/03,France,7,0,4
5/14/03,Germany,9,0,9
5/14/03,India,3,0,0
5/14/03,Indonesia,2,0,2
5/14/03,Italy,9,0,9
5/14/03,Kuwait,1,0,1
5/14/03,Malaysia,7,2,5
5/14/03,Mongolia,9,0,6
5/14/03,New Zealand,1,0,1
5/14/03,Philippines,10,2,3
5/14/03,Republic of Ireland,1,0,1
5/14/03,Republic of Korea,3,0,1
5/14/03,Romania,1,0,1
5/14/03,Singapore,205,28,157
5/14/03,South Africa,1,1,0
5/14/03,Spain,1,0,1
5/14/03,Sweden,3,0,3
5/14/03,Switzerland,1,0,1
5/14/03,Thailand,8,2,5
5/14/03,United Kingdom,4,0,4
5/14/03,United States,64,0,35
5/14/03,Viet Nam,63,5,58
5/15/03,Brazil,2,0,2
5/15/03,Bulgaria,1,0,0
5/15/03,Canada,142,23,107
5/15/03,China,5163,271,1858
5/15/03,"Hong Kong SAR, China",1703,234,1160
5/15/03,"Macao SAR, China",1,0,0
5/15/03,"Taiwan, China",264,30,38
5/15/03,Colombia,1,0,1
5/15/03,Finland,1,0,0
5/15/03,France,7,0,4
5/15/03,Germany,9,0,9
5/15/03,India,3,0,3
5/15/03,Indonesia,2,0,2
5/15/03,Italy,9,0,9
5/15/03,Kuwait,1,0,1
5/15/03,Malaysia,7,2,5
5/15/03,Mongolia,9,0,7
5/15/03,New Zealand,1,0,1
5/15/03,Philippines,12,2,4
5/15/03,Republic of Ireland,1,0,1
5/15/03,Republic of Korea,3,0,1
5/15/03,Romania,1,0,1
5/15/03,Singapore,205,28,157
5/15/03,South Africa,1,1,0
5/15/03,Spain,1,0,1
5/15/03,Sweden,3,0,3
5/15/03,Switzerland,1,0,1
5/15/03,Thailand,8,2,5
5/15/03,United Kingdom,4,0,4
5/15/03,United States,64,0,35
5/15/03,Viet Nam,63,5,58
5/16/03,Brazil,2,0,2
5/16/03,Bulgaria,1,0,0
5/16/03,Canada,140,23,106
5/16/03,China,5191,275,1947
5/16/03,"Hong Kong SAR, China",1706,238,1171
5/16/03,"Macao SAR, China",1,0,0
5/16/03,"Taiwan, China",274,35,46
5/16/03,Colombia,1,0,1
5/16/03,Finland,1,0,0
5/16/03,France,7,0,4
5/16/03,Germany,9,0,9
5/16/03,India,3,0,3
5/16/03,Indonesia,2,0,2
5/16/03,Italy,9,0,9
5/16/03,Kuwait,1,0,1
5/16/03,Malaysia,7,2,5
5/16/03,Mongolia,9,0,7
5/16/03,New Zealand,1,0,1
5/16/03,Philippines,12,2,4
5/16/03,Republic of Ireland,1,0,1
5/16/03,Republic of Korea,3,0,1
5/16/03,Romania,1,0,1
5/16/03,Singapore,205,28,157
5/16/03,South Africa,1,1,0
5/16/03,Spain,1,0,1
5/16/03,Sweden,3,0,3
5/16/03,Switzerland,1,0,1
5/16/03,Thailand,8,2,5
5/16/03,United Kingdom,4,0,4
5/16/03,United States,65,0,34
5/16/03,Viet Nam,63,5,58
5/17/03,Brazil,2,0,2
5/17/03,Canada,140,23,106
5/17/03,China,5209,282,2009
5/17/03,"Hong Kong SAR, China",1710,243,1191
5/17/03,"Macao SAR, China",1,0,0
5/17/03,"Taiwan, China",274,35,46
5/17/03,Colombia,1,0,1
5/17/03,Finland,1,0,0
5/17/03,France,7,0,6
5/17/03,Germany,9,0,9
5/17/03,India,3,0,3
5/17/03,Indonesia,2,0,2
5/17/03,Italy,9,0,9
5/17/03,Kuwait,1,0,1
5/17/03,Malaysia,7,2,5
5/17/03,Mongolia,9,0,7
5/17/03,New Zealand,1,0,1
5/17/03,Philippines,12,2,4
5/17/03,Republic of Ireland,1,0,1
5/17/03,Republic of Korea,3,0,1
5/17/03,Romania,1,0,1
5/17/03,Singapore,205,28,157
5/17/03,South Africa,1,1,0
5/17/03,Spain,1,0,1
5/17/03,Sweden,3,0,3
5/17/03,Switzerland,1,0,1
5/17/03,Thailand,8,2,5
5/17/03,United Kingdom,4,0,4
5/17/03,United States,66,0,34
5/17/03,Viet Nam,63,5,58
5/19/03,Brazil,2,0,2
5/19/03,Canada,140,23,106
5/19/03,China,5236,289,2148
5/19/03,"Hong Kong SAR, China",1714,251,1213
5/19/03,"Macao SAR, China",1,0,0
5/19/03,"Taiwan, China",344,40,50
5/19/03,Colombia,1,0,1
5/19/03,Finland,1,0,0
5/19/03,France,7,0,6
5/19/03,Germany,9,0,9
5/19/03,India,3,0,3
5/19/03,Indonesia,2,0,2
5/19/03,Italy,9,0,9
5/19/03,Kuwait,1,0,1
5/19/03,Malaysia,7,2,5
5/19/03,Mongolia,9,0,8
5/19/03,New Zealand,1,0,1
5/19/03,Philippines,12,2,8
5/19/03,Republic of Ireland,1,0,1
5/19/03,Republic of Korea,3,0,1
5/19/03,Romania,1,0,1
5/19/03,Singapore,206,28,160
5/19/03,South Africa,1,1,0
5/19/03,Spain,1,0,1
5/19/03,Sweden,3,0,3
5/19/03,Switzerland,1,0,1
5/19/03,Thailand,8,2,5
5/19/03,United Kingdom,4,0,4
5/19/03,United States,67,0,34
5/19/03,Viet Nam,63,5,58
5/20/03,Brazil,2,0,2
5/20/03,Canada,140,23,106
5/20/03,China,5248,294,2254
5/20/03,"Hong Kong SAR, China",1718,253,1229
5/20/03,"Macao SAR, China",1,0,0
5/20/03,"Taiwan, China",383,52,63
5/20/03,Colombia,1,0,1
5/20/03,Finland,1,0,0
5/20/03,France,7,0,6
